tree_file_name;leaf_dist;agree_with_etalon
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF04116_1.tre;"8;4;4;3;5;5;4;7;7;6;5;5;5;1;1";"None";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF04116_1.tre;"7;3;3;2;4;4;3;6;6;5;4;4;4;1;2";"None";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF04116_1.tre;"6;2;2;1;4;4;3;6;6;5;4;4;4;2;3";"4;6;6;5;4;3;2;1;2;2;2;3;6;6;5";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF04116_1.tre;"5;1;1;1;5;5;4;7;7;6;5;5;5;3;4";"5;7;7;6;5;4;3;1;1;1;3;4;7;7;6";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF04116_1.tre;"4;3;3;2;3;3;2;5;5;4;3;3;3;2;3";"None";19.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF04116_1.tre;"5;4;4;3;2;2;1;5;5;4;3;3;3;3;4";"1;9;9;8;7;6;5;5;6;6;3;2;2;2;1";48.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF04116_1.tre;"4;5;5;4;1;1;1;6;6;5;4;4;4;4;5";"2;10;10;9;8;7;6;6;7;7;4;3;1;1;1";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF04116_1.tre;"3;4;4;3;3;3;2;4;4;3;2;2;2;3;4";"4;5;5;4;3;2;1;2;3;3;2;3;6;6;5";18.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF04116_1.tre;"2;5;5;4;4;4;3;3;3;2;1;2;2;4;5";"6;3;3;2;1;1;2;4;5;5;4;5;8;8;7";49.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF04116_1.tre;"1;6;6;5;5;5;4;2;2;1;1;3;3;5;6";"None";34.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF04116_1.tre;"2;7;7;6;6;6;5;1;1;1;2;4;4;6;7";"8;1;1;1;2;3;4;6;7;7;6;7;10;10;9";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF04116_1.tre;"1;5;5;4;4;4;3;4;4;3;2;1;1;4;5";"None";22.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF01839_1.tre;"5;3;3;2;4;4;3;7;7;6;5;5;5;3;1";"3;6;6;5;4;3;1;1;2;2;6;7;7;5;4";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF01839_1.tre;"4;2;2;1;4;4;3;7;7;6;5;5;5;3;2";"None";21.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF01839_1.tre;"3;1;1;1;5;5;4;8;8;7;6;6;6;4;3";"3;6;6;5;4;3;2;2;1;1;6;7;7;5;4";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF01839_1.tre;"2;3;3;2;3;3;2;6;6;5;4;4;4;2;2";"None";11.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF01839_1.tre;"3;4;4;3;2;2;1;6;6;5;4;4;4;2;3";"None";25.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF01839_1.tre;"3;5;5;4;1;1;1;7;7;6;5;5;5;3;4";"None";19.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF01839_1.tre;"2;4;4;3;3;3;2;5;5;4;3;3;3;1;3";"None";12.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF01839_1.tre;"1;5;5;4;4;4;3;4;4;3;2;2;2;1;4";"None";8.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF01839_1.tre;"4;6;6;5;5;5;4;3;3;2;1;2;2;2;5";"None";15.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF01839_1.tre;"3;7;7;6;6;6;5;2;2;1;1;3;3;3;6";"4;2;2;1;1;2;5;5;5;5;7;8;8;6;5";23.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF01839_1.tre;"2;8;8;7;7;7;6;1;1;1;2;4;4;4;7";"None";30.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF01839_1.tre;"1;6;6;5;5;5;4;4;4;3;2;1;1;2;5";"None";44.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF03721_1.tre;"6;7;6;5;5;5;6;6;6;6;4;2;1;1;1";"4;6;6;5;4;4;4;1;1;1;3;6;6;6;6";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF03721_1.tre;"5;6;5;4;4;4;5;5;5;5;3;1;1;2;2";"3;5;5;4;3;3;3;2;2;1;2;5;5;5;5";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF03721_1.tre;"4;5;4;3;3;3;4;4;4;4;2;1;2;3;3";"None";22.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF03721_1.tre;"4;4;3;2;2;2;4;4;4;4;2;2;3;4;4";"3;4;4;3;2;2;2;3;3;2;2;5;5;5;5";25.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF03721_1.tre;"3;3;2;1;2;2;5;5;5;5;3;3;4;5;5";"4;3;3;2;1;2;2;4;4;3;3;6;6;6;6";26.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF03721_1.tre;"4;2;1;1;3;3;6;6;6;6;4;4;5;6;6";"5;2;2;1;1;3;3;5;5;4;4;7;7;7;7";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF03721_1.tre;"3;1;1;2;4;4;7;7;7;7;5;5;6;7;7";"6;1;1;1;2;4;4;6;6;5;5;8;8;8;8";45.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF03721_1.tre;"2;4;3;2;1;1;5;5;5;5;3;3;4;5;5";"4;4;4;3;2;1;1;4;4;3;3;6;6;6;6";20.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF03721_1.tre;"1;5;4;3;3;3;3;3;3;3;1;2;3;4;4";"1;6;6;5;4;4;4;4;4;3;1;3;3;3;3";40.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF03721_1.tre;"2;6;5;4;4;4;2;2;2;2;1;3;4;5;5";"1;7;7;6;5;5;5;5;5;4;2;2;2;2;2";49.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF03721_1.tre;"2;7;6;5;5;5;1;1;2;2;2;4;5;6;6";"2;8;8;7;6;6;6;6;6;5;3;1;1;2;2";48.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF03721_1.tre;"1;7;6;5;5;5;2;2;1;1;2;4;5;6;6";"2;8;8;7;6;6;6;6;6;5;3;2;2;1;1";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF00445_1.tre;"7;9;8;7;6;5;6;6;6;6;3;2;1;1;1";"3;9;10;10;8;7;7;7;6;6;4;1;1;1;2";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF00445_1.tre;"6;8;7;6;5;4;5;5;5;5;2;1;1;2;2";"2;8;9;9;7;6;6;6;5;5;3;2;2;1;1";47.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF00445_1.tre;"5;7;6;5;4;3;4;4;4;4;1;1;2;3;3";"1;7;8;8;6;5;5;5;4;4;2;3;3;2;1";39.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF00445_1.tre;"4;6;5;4;3;2;3;3;3;3;1;2;3;4;4";"None";18.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF00445_1.tre;"4;5;4;3;2;1;3;3;3;3;2;3;4;5;5";"None";23.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF00445_1.tre;"3;4;3;2;1;1;4;4;4;4;3;4;5;6;6";"4;3;4;4;2;1;2;2;3;3;3;7;7;6;5";49.0
