tree_file_name;leaf_dist;agree_with_etalon
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap100/PF05000_1.tre;"6;5;4;8;8;8;8;6;5;4;3;3;1;1;1";"None";52.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap100/PF05000_1.tre;"5;4;3;7;7;7;7;5;4;3;2;2;1;2;2";"None";69.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap100/PF05000_1.tre;"4;3;2;6;6;6;6;4;3;2;2;2;2;3;3";"None";39.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap100/PF05000_1.tre;"5;2;1;6;6;6;6;4;3;2;3;3;3;4;4";"4;4;4;3;2;1;2;2;2;3;7;7;7;7;5";84.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap100/PF05000_1.tre;"4;1;1;7;7;7;7;5;4;3;4;4;4;5;5";"5;5;5;4;3;1;1;1;3;4;8;8;8;8;6";100.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap100/PF05000_1.tre;"3;3;2;5;5;5;5;3;2;1;3;3;3;4;4";"2;5;5;4;3;3;4;4;1;1;5;5;5;5;3";42.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap100/PF05000_1.tre;"2;4;3;4;4;4;4;2;1;1;4;4;4;5;5";"1;6;6;5;4;4;5;5;2;1;4;4;4;4;2";90.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap100/PF05000_1.tre;"1;5;4;3;3;3;3;1;1;2;5;5;5;6;6";"1;7;7;6;5;5;6;6;3;2;3;3;3;3;1";74.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap100/PF05000_1.tre;"3;6;5;2;2;2;2;1;2;3;6;6;6;7;7";"2;8;8;7;6;6;7;7;4;3;2;2;2;2;1";80.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap100/PF05000_1.tre;"3;7;6;1;1;2;2;2;3;4;7;7;7;8;8";"3;9;9;8;7;7;8;8;5;4;1;1;2;2;2";73.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap100/PF05000_1.tre;"2;7;6;2;2;1;1;2;3;4;7;7;7;8;8";"3;9;9;8;7;7;8;8;5;4;2;2;1;1;2";100.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap100/PF05000_1.tre;"1;4;3;7;7;7;7;5;4;3;1;1;2;3;3";"6;1;1;1;2;4;5;5;4;5;9;9;9;9;7";100.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap100/PF09731_1.tre;"5;2;2;3;3;7;7;6;5;6;6;6;6;3;1";"3;8;8;7;6;7;7;7;7;4;1;1;2;2;2";100.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap100/PF09731_1.tre;"4;1;1;3;3;7;7;6;5;6;6;6;6;3;2";"3;8;8;7;6;7;7;7;7;4;2;2;1;1;2";100.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap100/PF09731_1.tre;"3;2;2;2;2;6;6;5;4;5;5;5;5;2;2";"2;7;7;6;5;6;6;6;6;3;2;2;2;2;1";100.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap100/PF09731_1.tre;"4;3;3;1;1;6;6;5;4;5;5;5;5;2;3";"None";67.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap100/PF09731_1.tre;"4;3;3;2;2;5;5;4;3;4;4;4;4;1;3";"1;5;5;4;3;4;4;4;4;1;4;4;4;4;2";100.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap100/PF09731_1.tre;"3;4;4;3;3;4;4;3;2;3;3;3;3;1;4";"2;4;4;3;2;3;3;3;3;1;5;5;5;5;3";95.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap100/PF09731_1.tre;"2;5;5;4;4;3;3;2;1;3;3;3;3;2;5";"3;3;3;2;1;3;3;3;3;2;6;6;6;6;4";73.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap100/PF09731_1.tre;"1;6;6;5;5;2;2;1;1;4;4;4;4;3;6";"4;2;2;1;1;4;4;4;4;3;7;7;7;7;5";100.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap100/PF09731_1.tre;"3;7;7;6;6;1;1;1;2;5;5;5;5;4;7";"5;1;1;1;2;5;5;5;5;4;8;8;8;8;6";94.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap100/PF09731_1.tre;"3;5;5;4;4;4;4;3;2;2;2;2;2;2;5";"3;4;4;3;2;2;2;2;2;2;6;6;6;6;4";100.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap100/PF09731_1.tre;"2;6;6;5;5;5;5;4;3;1;1;2;2;3;6";"4;5;5;4;3;2;2;1;1;3;7;7;7;7;5";100.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap100/PF09731_1.tre;"1;6;6;5;5;5;5;4;3;2;2;1;1;3;6";"4;5;5;4;3;1;1;2;2;3;7;7;7;7;5";100.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap100/PF04116_1.tre;"8;7;6;7;7;6;6;6;5;4;4;2;1;1;1";"8;1;1;1;2;3;4;6;7;7;6;7;10;10;9";100.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap100/PF04116_1.tre;"7;6;5;6;6;5;5;5;4;3;3;1;1;2;2";"None";60.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap100/PF04116_1.tre;"6;5;4;5;5;4;4;4;3;2;2;1;2;3;3";"6;3;3;2;1;1;2;4;5;5;4;5;8;8;7";89.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap100/PF04116_1.tre;"5;4;3;4;4;3;3;3;2;2;2;2;3;4;4";"4;5;5;4;3;2;1;2;3;3;2;3;6;6;5";37.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap100/PF04116_1.tre;"4;3;2;3;3;2;3;3;2;3;3;3;4;5;5";"None";44.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap100/PF04116_1.tre;"5;2;1;3;3;2;4;4;3;4;4;4;5;6;6";"None";100.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap100/PF04116_1.tre;"4;1;1;4;4;3;5;5;4;5;5;5;6;7;7";"None";100.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap100/PF04116_1.tre;"3;3;2;2;2;1;4;4;3;4;4;4;5;6;6";"4;6;6;5;4;3;2;1;2;2;2;3;6;6;5";100.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap100/PF04116_1.tre;"2;4;3;1;1;1;5;5;4;5;5;5;6;7;7";"5;7;7;6;5;4;3;1;1;1;3;4;7;7;6";100.0
