tree_file_name;leaf_dist;agree_with_etalon
Puzzle_filtered//PF00270_14.tre;"1;9;9;10;10;7;7;7;7;7;6;5;5;5;7;7;8;8;8;8;5;5;2;2;1;1;3;4;5;5";"10;2;2;1;1;2;5;5;4;5;5;11;11;10;9;9;9;8;8;7;8;8;6;7;10;10;9;10;10;10";90.4
Puzzle_filtered//PF04116_1.tre;"9;10;10;10;10;12;12;11;9;7;7;7;5;7;8;9;9;8;8;7;5;3;5;5;5;5;3;1;1;1";"None";70.1
Puzzle_filtered//PF04116_1.tre;"9;9;9;9;9;11;11;10;8;6;6;6;4;6;7;8;8;7;7;6;4;2;4;4;4;4;2;1;2;2";"9;8;8;8;8;6;7;7;6;5;5;4;3;2;2;2;1;2;4;5;5;5;6;9;9;9;9;9;9;9";68.8
Puzzle_filtered//PF04116_1.tre;"8;8;8;8;8;10;10;9;7;5;5;5;3;5;6;7;7;6;6;5;3;1;4;4;4;4;2;2;3;3";"8;7;7;7;7;5;6;6;5;5;5;4;3;2;3;3;2;1;3;4;4;4;5;8;8;8;8;8;8;8";95.5
Puzzle_filtered//PF04116_1.tre;"7;7;7;7;7;9;9;8;6;4;4;4;2;4;5;6;6;5;5;4;2;1;5;5;5;5;3;3;4;4";"7;6;6;6;6;4;5;5;4;6;6;5;4;3;4;4;3;1;2;3;3;3;4;7;7;7;7;7;7;7";93.9
Puzzle_filtered//PF04116_1.tre;"8;6;6;6;6;8;8;7;5;3;3;3;1;4;5;6;6;5;5;4;2;2;6;6;6;6;4;4;5;5";"None";45.7
Puzzle_filtered//PF04116_1.tre;"7;5;5;5;5;7;7;6;4;2;2;2;1;5;6;7;7;6;6;5;3;3;7;7;7;7;5;5;6;6";"None";90.7
Puzzle_filtered//PF04116_1.tre;"6;4;4;4;4;6;6;5;3;1;2;2;2;6;7;8;8;7;7;6;4;4;8;8;8;8;6;6;7;7";"None";95.4
Puzzle_filtered//PF04116_1.tre;"12;3;3;3;3;5;5;4;2;1;3;3;3;7;8;9;9;8;8;7;5;5;9;9;9;9;7;7;8;8";"None";96.3
Puzzle_filtered//PF04116_1.tre;"11;2;2;2;3;5;5;4;2;2;4;4;4;8;9;10;10;9;9;8;6;6;10;10;10;10;8;8;9;9";"None";81.1
Puzzle_filtered//PF04116_1.tre;"10;1;2;2;4;6;6;5;3;3;5;5;5;9;10;11;11;10;10;9;7;7;11;11;11;11;9;9;10;10";"9;2;2;1;1;2;5;5;4;11;11;10;9;8;9;9;8;6;6;7;7;5;6;9;9;9;9;9;9;9";88.5
Puzzle_filtered//PF04116_1.tre;"9;2;1;1;4;6;6;5;3;3;5;5;5;9;10;11;11;10;10;9;7;7;11;11;11;11;9;9;10;10";"4;9;9;9;9;7;8;8;7;12;12;11;10;9;10;10;9;7;7;8;8;4;3;2;2;1;1;4;4;4";91.2
Puzzle_filtered//PF04116_1.tre;"10;3;3;3;2;4;4;3;1;2;4;4;4;8;9;10;10;9;9;8;6;6;10;10;10;10;8;8;9;9";"None";62.1
Puzzle_filtered//PF04116_1.tre;"9;4;4;4;1;3;3;2;1;3;5;5;5;9;10;11;11;10;10;9;7;7;11;11;11;11;9;9;10;10";"None";53.9
Puzzle_filtered//PF04116_1.tre;"8;5;5;5;1;2;2;1;2;4;6;6;6;10;11;12;12;11;11;10;8;8;12;12;12;12;10;10;11;11";"None";38.2
