tree_file_name;leaf_dist;agree_with_etalon
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF07690_4.tre;"7;4;3;2;1;1;5;5;5;5;5;5;4;3;3";"None";20.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF07690_4.tre;"7;3;2;1;1;2;6;6;6;6;6;6;5;4;4";"4;4;3;2;5;5;5;5;3;3;3;1;2;3;3";49.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF07690_4.tre;"6;2;1;1;2;3;7;7;7;7;7;7;6;5;5";"5;5;4;3;6;6;6;6;4;4;4;1;1;2;2";41.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF07690_4.tre;"5;1;1;2;3;4;8;8;8;8;8;8;7;6;6";"6;6;5;4;7;7;7;7;5;5;5;2;1;1;1";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF07690_4.tre;"5;6;5;4;3;2;3;3;3;3;3;3;2;2;2";"4;4;3;2;4;4;4;4;2;2;2;2;3;4;4";41.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF07690_4.tre;"4;7;6;5;4;3;2;2;2;2;3;3;2;3;3";"6;6;5;4;2;2;2;2;1;3;3;4;5;6;6";48.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF07690_4.tre;"3;8;7;6;5;4;1;1;2;2;4;4;3;4;4";"7;7;6;5;1;1;2;2;2;4;4;5;6;7;7";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF07690_4.tre;"4;8;7;6;5;4;2;2;1;1;4;4;3;4;4";"7;7;6;5;2;2;1;1;2;4;4;5;6;7;7";42.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF07690_4.tre;"5;7;6;5;4;3;3;3;3;3;2;2;1;3;3";"None";47.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF07690_4.tre;"6;8;7;6;5;4;4;4;4;4;1;1;1;4;4";"5;5;4;3;4;4;4;4;2;1;1;3;4;5;5";29.0
