tree_file_name;leaf_dist;agree_with_etalon
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF07690_4.tre;"1;8;8;8;8;8;7;6;6;4;3;2;1;1;1";"6;6;5;4;7;7;7;7;5;5;5;2;1;1;1";20.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF07690_4.tre;"2;7;7;7;7;7;6;5;5;3;2;1;1;2;2";"5;5;4;3;6;6;6;6;4;4;4;1;1;2;2";18.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF07690_4.tre;"7;6;6;6;6;6;5;4;4;2;1;1;2;3;3";"4;4;3;2;5;5;5;5;3;3;3;1;2;3;3";20.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF07690_4.tre;"7;5;5;5;5;5;4;3;3;1;1;2;3;4;4";"None";10.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF07690_4.tre;"6;4;4;4;4;4;3;2;2;1;2;3;4;5;5";"None";17.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF07690_4.tre;"5;3;3;3;3;3;2;2;2;2;3;4;5;6;6";"4;4;3;2;4;4;4;4;2;2;2;2;3;4;4";18.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF07690_4.tre;"5;2;2;2;3;3;2;3;3;3;4;5;6;7;7";"6;6;5;4;2;2;2;2;1;3;3;4;5;6;6";20.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF07690_4.tre;"4;1;2;2;4;4;3;4;4;4;5;6;7;8;8";"7;7;6;5;1;1;2;2;2;4;4;5;6;7;7";20.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF07690_4.tre;"3;2;1;1;4;4;3;4;4;4;5;6;7;8;8";"7;7;6;5;2;2;1;1;2;4;4;5;6;7;7";16.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF07690_4.tre;"4;3;3;3;2;2;1;3;3;3;4;5;6;7;7";"None";18.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF07690_4.tre;"5;4;4;4;1;1;1;4;4;4;5;6;7;8;8";"5;5;4;3;4;4;4;4;2;1;1;3;4;5;5";13.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF07690_4.tre;"6;4;4;4;4;4;3;1;1;2;3;4;5;6;6";"None";20.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF02854_2.tre;"2;2;1;7;7;6;7;7;6;4;5;5;4;2;1";"None";18.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF02854_2.tre;"1;1;1;8;8;7;8;8;7;5;6;6;5;3;2";"2;1;1;1;3;7;7;6;7;7;6;5;7;7;6";17.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF02854_2.tre;"1;3;2;6;6;5;6;6;5;3;4;4;3;1;1";"1;3;3;2;1;5;5;4;5;5;4;3;5;5;4";10.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF02854_2.tre;"5;4;3;5;5;4;5;5;4;2;3;3;2;1;2";"2;4;4;3;1;4;4;3;4;4;3;2;4;4;3";16.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF02854_2.tre;"4;5;4;4;4;3;4;4;3;1;3;3;2;2;3";"None";19.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF02854_2.tre;"5;6;5;3;3;2;3;3;2;1;4;4;3;3;4";"3;5;5;4;2;3;3;2;3;3;2;2;4;4;3";20.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF02854_2.tre;"4;7;6;2;2;1;3;3;2;2;5;5;4;4;5";"4;6;6;5;3;3;3;2;2;2;1;3;5;5;4";20.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF02854_2.tre;"3;8;7;1;1;1;4;4;3;3;6;6;5;5;6";"None";17.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF02854_2.tre;"2;7;6;3;3;2;2;2;1;2;5;5;4;4;5";"4;6;6;5;3;2;2;1;3;3;2;3;5;5;4";20.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF02854_2.tre;"3;8;7;4;4;3;1;1;1;3;6;6;5;5;6";"None";20.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF02854_2.tre;"5;5;4;5;5;4;5;5;4;2;2;2;1;2;3";"4;6;6;5;3;5;5;4;5;5;4;1;2;2;1";20.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF02854_2.tre;"4;6;5;6;6;5;6;6;5;3;1;1;1;3;4";"5;7;7;6;4;6;6;5;6;6;5;2;1;1;1";18.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF01569_1.tre;"5;7;7;7;5;4;3;2;4;4;3;3;3;1;1";"1;1;5;5;5;5;3;2;2;3;5;6;6;5;5";11.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF01569_1.tre;"5;6;6;6;4;3;2;1;4;4;3;3;3;2;2";"None";9.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF01569_1.tre;"4;5;5;5;3;2;1;1;5;5;4;4;4;3;3";"None";13.0
